Team,Player_ID,Player,Matches,Runs,Wickets,Hundreds,Fifties,Speciality
Ind,498403,Yuvraj Singh,111,2948,167,9,28,All-rounder
SA,533880,Jaq Kallis,248,7758,258,12,38,All-rounder
WI,391674,Dwane Bravo,355,8586,118,5,22,All-rounder
Ban,566945,Shakib Ul-hasan,156,13714,118,11,18,All-rounder
End,10543,Andrew Filntoff,353,18201,216,9,42,All-rounder
Ind,895647,Virat Kohli,343,14970,29,34,66,Bat
Ind,142991,Rohit Sharma,148,8246,10,48,14,Bat
Ind,178781,Shreyas Iyyer,79,10929,21,44,86,Bat
Ind,204027,Shekhar Dhawan,428,15999,4,39,27,Bat
Ind,652081,Virendra Sehwag,426,7758,25,44,65,Bat
Aus,49991,Ricky Pointing,293,7758,36,32,28,Bat
Pak,192546,Inzmam Ul-Haq,444,2696,14,41,88,Bat
SA,550111,AB Deviliers,146,1599,7,25,75,Bat
SL,232833,Sanath Jaysuriya,376,7396,21,27,23,Bat
Ind,153571,Sachin Tendulkar,336,4850,4,40,10,Bat
Ind,540382,MS Dhoni,311,14700,19,26,38,Bat
Aus,548172,Mathew Hyden,327,1427,28,37,78,Bat
WI,396184,Chris Gayle,311,8680,31,38,67,Bat
End,258821,Eoin Morgan,460,7474,9,29,59,Bat
End,174931,Kevin Peterson,332,13368,29,3,58,Bat
SA,9748,Johnty Rhodes,141,7403,28,33,40,Bat
SL,659798,Kumar Sangakkara,366,17727,35,17,50,Bat
SL,152246,Mahela Jaywardhane,457,17065,15,7,88,Bat
NZ,297523,Brendum Macculum,260,9642,25,39,77,Bat
Ind,550940,Jasprit Bumrah,461,1251,265,0,0,Bow
Ind,97711,Mohmmed Shami,419,5217,210,0,0,Bow
Ind,3956,R. Ashwin,365,2938,118,0,0,Bow
Aus,519952,Glenn McGrath,254,867,327,0,0,Bow
Aus,16116,Brett Lee,416,1329,266,0,0,Bow
NZ,609483,Danniel Vittory,178,1863,137,0,0,Bow
