AUTHOR_ID,AUTHOR_NAME
1,A. Kannan
2,Aaron M. Tenenbaum
3,Adam Smith
4,Adity Gupta
5,Alex lonescu
6,Alex Mackman
7,Alfred.V.Aho
8,Alon Fliess
9,Ananth Grama
10,Andre Tost
11,Andreas Reuter
12,Andrew J. Brust
13,Andrew M. Rudoff
14,Andrew S.Tanenbaum
15,Andrew Stellman
16,Andrew Tanenbaum
17,Andrew Troelsen
18,Andy Oram
19,Anish Karmarkar
20,Anshul Gupta
21,Anthony T. Holdener3
22,Arnold Robbins
23,Arun K Pujari
24,Auron Tenenbaum
25,B. M. Subraya
26,B.V Kumar
27,Behrouz A. Forouzan
28,Bert Bates
29,Bill Fenner
30,Bill Zoellick
31,Binildas CA
32,Bjarne Stroustrup
33,Bob Becker
34,Bobby Young
35,Bonnie Biafore
36,Brad Dayley
37,Bradner
38,Brian MacDonald
39,Brian W. Kernighan 
40,Bruce Bukovics
41,Bruice Schneier
42,Bryan Basham
43,Bryan Jeffries
44,C. J. Date
45,C.K.Prahalad 
46,Cameron New bam
47,Canyang Kevin Liu
48,Carl Albing
49,Cay Horstman
50,Cay S. Horstmann
51,Charles Leiserson
52,Chhanda Ray
53,Christopher Negus
54,Christopher Schmitt
55,Ciayton M.Christensen
56,Clifford Stein
57,Colin J.White
58,Craig Larman
59,Craig S. Mullins
60,Craig Zacker
61,D M Dhamdhere
62,D. Ghosh Dastidar
63,Dale Dougherty 
64,Dan Hurwitz
65,Dan Mabarry
66,Dan Malks
67,Dan Volitich
68,Daniel C.Dennett
69,Danny Goodman
70,David A. Solomon
71,David Chappll
72,David Flanagan
73,David Holmes
74,David L Stevens
75,David Orchard
76,Deanna Reynolds
77,Debbie Carson
78,Deepak Alur
79,Dennis Glendenning
80,Dennis Shasha
81,Dino Esposito
82,Diomidis Spinellis
83,Donald G. Zeilenga
84,Donald Knuth
85,Donis Marshall
86,Donna M. Lenczycki
87,Doug Lowe
88,Douglas E Comer
89,Douglas R.Hofstadter
90,Dr. Shahram Khosravi
91,Dr.P.S. Deshpande
92,Dwaine R.Snow
93,Elisabeth Freeman
94,Elizabeth O' Neil
95,Ellie Quigley
96,Ellis Horowitz
97,Eric Cole
98,Eric Foster-Johnson
99,Eric Freeman
100,Eric Jendrock
101,Eric Newcomer
102,Eric Steven Raymond
103,Erich Gamma
104,Erik Gunvaldson
105,Essential Reference Series
106,Evi Nemeth
107,Federico Biancuzzi
108,Frank Buschmann
109,Frederick P Brooks, Jr
110,Fritz Schneider
