BOOK_ID,AUTHOR_ID
B0001,273
B0002,32
B0003,128
B0004,16
B0005,26
B0005,97
B0005,141
B0006,88
B0007,37
B0007,201
B0008,74
B0008,88
B0009,74
B0009,88
B0010,24
B0010,254
B0010,328
B0011,103
B0011,171
B0011,224
B0011,247
B0012,165
B0013,140
B0013,211
B0014,49
B0015,34
B0015,119
B0015,156
B0015,180
B0015,214
B0015,259
B0016,119
B0016,133
B0016,140
B0017,240
B0018,58
B0019,306
B0020,119
B0020,133
B0020,140
B0021,207
B0022,84
B0023,84
B0024,84
B0025,323
B0026,51
B0026,56
B0026,266
B0026,300
B0027,167
B0027,331
B0028,323
B0029,167
B0029,331
B0030,16
B0031,209
B0032,263
B0033,26
B0033,271
B0034,135
B0034,179
B0035,25
B0036,227
B0037,294
B0038,127
B0038,213
B0039,114
B0039,143
B0039,303
B0040,202
B0040,271
B0040,295
B0041,59
B0042,113
B0042,270
B0043,330
B0044,224
B0044,258
B0045,62
B0045,195
B0046,87
B0047,204
B0047,248
B0048,161
B0048,248
B0049,33
B0049,177
B0049,204
B0049,248
B0049,316
B0050,23
B0051,154
B0051,218
B0052,41
B0053,94
B0053,229
B0054,323
B0055,318
B0056,250
B0056,280
B0057,185
B0058,52
B0059,1
B0059,44
B0059,269
B0060,28
B0060,178
B0061,72
B0062,326
B0063,73
B0063,137
B0063,182
B0063,241
B0064,28
B0064,178
B0065,66
B0065,78
B0065,164
B0066,255
B0067,77
B0067,100
B0067,130
B0067,149
B0067,186
B0067,275
B0068,21
B0069,26
B0069,268
B0069,271
B0070,126
B0071,299
B0072,69
B0073,70
B0073,205
B0074,8
B0074,190
B0074,274
B0074,329
B0075,230
B0076,298
B0077,40
B0078,12
B0078,193
B0078,286
B0079,85
B0080,81
B0081,188
B0082,5
B0082,70
B0082,197
B0083,147
B0084,322
B0085,322
B0086,175
B0087,233
B0087,325
B0088,163
B0089,22
B0089,63
B0090,152
B0090,221
B0090,282
B0090,304
B0091,310
B0092,46
B0092,48
B0092,134
B0093,53
B0093,98
B0094,314
B0095,105
B0095,297
B0096,210
B0097,106
B0097,111
B0097,277
B0097,308
B0098,39
B0098,261
B0099,210
B0100,327
B0101,102
B0102,203
B0103,285
B0103,314
B0104,314
B0105,314
B0106,314
B0107,13
B0107,29
B0107,314
B0108,314
B0109,30
B0109,122
B0109,215
B0110,160
B0111,43
B0111,191
B0111,305
B0112,35
B0112,76
B0112,172
B0113,290
B0114,92
B0114,212
B0114,251
B0114,324
B0115,262
B0116,67
B0117,117
B0118,109
B0119,322
B0120,60
B0121,9
B0121,20
B0121,115
B0121,312
B0122,7
B0122,146
B0122,166
B0123,44
B0123,57
B0124,187
B0124,246
B0125,321
B0126,14
B0126,206
B0127,6
B0127,136
B0127,142
B0127,184
B0127,242
B0128,82
B0128,116
B0129,107
B0129,281
B0130,18
B0130,170
B0131,234
B0132,45
B0132,196
B0133,55
B0134,192
B0134,232
B0134,256
B0135,225
B0136,225
B0137,288
B0137,291
B0138,3
B0139,176
B0140,322
B0141,104
B0141,144
B0141,219
B0142,68
B0142,89
B0143,89
B0144,173
B0145,288
B0145,291
B0146,289
B0147,151
B0147,162
B0147,226
B0148,54
B0149,293
B0150,228
B0150,236
B0150,249
B0151,189
B0151,208
B0152,30
B0152,122
B0152,217
B0153,296
B0154,158
B0155,61
B0156,293
B0157,159
B0158,290
B0159,110
B0159,302
B0160,147
B0161,244
B0161,257
B0162,169
B0162,174
B0162,267
B0162,283
B0162,313
B0163,237
B0164,83
B0164,86
B0165,155
B0166,96
B0166,272
B0166,273
B0167,2
B0167,223
B0167,328
B0168,124
B0168,133
B0168,198
B0168,231
B0169,36
B0169,194
B0170,95
B0171,27
B0171,253
B0172,4
B0172,279
B0173,181
B0174,260
B0174,284
B0175,320
B0176,245
B0177,132
B0178,319
B0179,71
B0180,322
B0181,90
B0182,138
B0182,148
B0182,322
B0183,79
B0183,145
B0183,183
B0183,220
B0183,276
B0184,322
B0185,118
B0185,120
B0185,222
B0185,307
B0186,28
B0186,42
B0186,178
B0187,28
B0187,93
B0187,99
B0187,178
B0188,80
B0188,239
B0189,123
B0189,168
B0189,315
B0190,15
B0190,150
B0191,28
B0191,178
B0192,199
B0193,108
B0193,125
B0193,216
B0193,235
B0193,252
B0194,50
B0194,112
B0195,31
B0195,200
B0195,311
B0196,301
B0197,119
B0197,301
B0198,131
B0198,264
B0199,10
B0199,19
B0199,47
B0199,75
B0199,129
B0199,139
B0199,243
B0199,301
B0199,309
B0200,301
B0201,128
B0202,91
B0203,102
B0203,121
B0204,101
B0204,238
B0205,11
B0205,157
B0206,15
B0206,150
B0207,64
B0207,65
B0207,153
B0208,17
B0209,38
B0209,64
B0209,153
B0210,292
B0211,317
B0212,278
B0213,287
