BOOK_ID,BOOK_TITLE,BOOK_COST,BOOK_TYPE,PUBL_ID,BOOK_EDITION,BOOK_DISCOUNT,ISBN,PUBL_DATE
B0056,DataBase Systems,935.27,DB,11,Fifth,10,978-8131716250,01-MAY-08
B0059,Database Systems,1003.67,DB,11,Eighth,10,978-8185015583,01-JAN-02
B0063,The Java TM Programming Language,425,PR,11,Third,10,978-8131702215,01-JAN-08
B0067,The Java TM EE5 Tutorial,725,PR,11,,18,978-8131714928,03-NOV-06
B0071,The Complete Reference HTML & XHTML,540,PR,15,Fourth,16,978-0070701946,08-MAR-10
B0075,Inside Microsoft  Office Sharepoint  Server 2007,699,PR,17,,15,978-9350041666,16-MAY-07
B0081,MCITP  Microsoft Certified IT Professional 5-in-1 Study System,699,PR,7,,15,978-9350040102,01-JAN-11
B0087,UNIX System Administrator's Bible,450,OS,5,,,978-0764531620,14-JUL-98
B0090,UNIX Power Tools,750,PR,14,Third,20,978-0679790730,08-OCT-02
B0094,Advanced Programming in the UNIX  Environment,599,PR,1,,15,978-8131762554,01-JAN-12
B0099,Design Of The UNIX Operating System,295,OS,13,,,978-8177587708,01-JAN-90
B0104,UNIX Network Programming,175,PR,13,,,978-8177583762,01-JAN-11
B0107,UNIX Network Programming The Sockets Networking API Volume 1,450,PR,13,Third,15,978-8120328235,01-JAN-05
B0176,The Art of Computer Systems Performance Analysis,382,SE,18,,10,978-8126519057,10-DEC-08
B0181,Professional IIS 7 and ASP. NET Integrated Programming,494,PR,18,,12,978-8126515332,19-OCT-07
B0187,Head First Design Patterns,365,PR,14,,8,978-8173664663,15-OCT-04
B0190,Head First C#,523,PR,14,,12,978-8184044195,01-DEC-07
B0193,Pattern-Oriented Software Architecture A System of Patterns,262,SE,18,,,978-8126516117,06-MAR-08
B0199,Web Service Contract Design & Versioning for SOA,920,PR,12,,18,978-0136135173,24-SEP-08
B0204,Principles Of Transaction Processing for The Systems Professional,5788.69,DB,9,,25,978-1558604155,25-JAN-97
B0210,Oracle PL/SQL Programming,552.5,PR,14,Fifth,15,978-8184049497,28-SEP-09
B0005,Network Security Bible,549,NW,18,Second,10,978-8126505760,16-FEB-05
B0013,Object Oriented Modelling and Design with UML2,285,SE,11,Second,5,978-8131764626,01-JAN-11
B0025,Computer organization and Architecture Designing for Performance,375,OS,11,Seventh,10,978-8131732458,01-JAN-10
B0038,Information Security,315,NW,6,,12,978-8131509524,01-JAN-10
B0046,MVS   TSO Part.1 Concepts and ISPF,2250,OS,20,Second,25,978-0911625561,01-DEC-81
B0055,Modern Cryptography  Theory and Practice,625,NW,11,,18,978-8131702123,01-JAN-08
B0069,J2EE  TM Architecture,457,PR,15,,,978-0070621633,20-NOV-06
B0078,Programming Microsoft  SQL Server 2008,699,PR,17,,15,978-8178531496,01-JAN-08
B0091,UNIX Internals  The New Frontiers,525,OS,11,,15,978-8177582499,01-DEC-08
B0103,Advanced Programming in the UNIX  Environment,599,PR,11,Second,,978-8131700051,01-JAN-05
B0113,Software Estimation Demystifying the Black Art,350,SE,17,,12,978-9350041284,18-OCT-11
B0123,A Guide to DB2,843,DB,11,Fifth,,978-0201558210,31-DEC-82
B0131,Innovation and Entrepreneurship,431.25,GN,22,,12,978-0060851132,09-MAY-06
B0140,Windows Server 2008 Inside Out,895,OS,13,,20,978-8120335035,27-FEB-08
B0148,CSS Cook book,600,PR,14,Third,18,978-8184048971,01-JAN-10
B0156,HTML Black Book,449,PR,7,,14,978-8177220865,03-JUL-00
B0163,The Complete Reference JSP2.0,550,PR,15,,17,978-0070531413,19-FEB-03
B0172,Flash 8 IN Simple Steps,139,PR,7,,,978-8177226997,14-AUG-06
B0183,Professional IIS 7,539,NW,18,,15,978-0470097823,11-MAR-08
B0192,The Tipping Point,216.2,GN,,,,978-0349113463,14-FEB-02
B0200,SOA Principles of Service Design,559,PR,14,,15,978-8131723098,01-JAN-07
B0211,Beginning Iphone SDK Programming with Objective-C,424,PR,18,,12,978-8126525485,18-FEB-10
B0001,Data Structures, Algorithms and Applications in C++,375,PR,16,Second,10,978-8173715228,01-JAN-05
B0002,The C++ Programming Language,699,PR,11,Third,15,978-8131705216,01-JAN-08
B0003,The Complete Reference C++,495,PR,15,Fourth,8,978-0070532465,02-APR-03
B0004,Computer Networks,375,NW,11,Fourth,5,978-8177581652,01-DEC-08
B0006,Intranet - Working with TCP/IP - Volume 1 Principles Protocols and Architecture,225,NW,13,Third,,978-8131707395,01-JAN-08
B0007,Ipng Internet Protocol Next Generation,2165,NW,1,,,978-0201633955,23-MAY-95
B0008,Internet - Working with TCP/IP - Volume II Design, Implementation and Internals,250,NW,13,,,978-0139738432,15-JUN-98
B0009,Internet - Working with TCP/IP - Volume III Client Server programming and Applications,195,NW,13,,,978-0132609692,25-MAR-96
B0010,Data structures using Java,460,PR,11,,10,978-0130477217,05-MAR-03
B0011,Design Patterns Elements of Re-usable object oriented language,450,SE,11,,10,978-7111211266,01-JAN-08
B0012,Object Oriented Analysis and Design,510,SE,11,,12,978-0321263179,09-NOV-04
B0014,Object Oriented Design and Patterns,333,SE,18,,10,978-8126534715,01-JAN-12
B0015,Object Oriented Analysis and Design with Applications,650,SE,11,Third,15,978-8131722879,01-JAN-09
B0016,The Unified Software development Process,524,SE,1,,,978-8177583151,01-JAN-07
B0017,Real Time Systems Design and Analysis,399,OS,18,,10,978-8126508303,23-JUN-06
B0018,Appplying UML and Patterns An introduction to object oriented analysis and design and iterative development,499,SE,11,Third,15,978-8177589795,01-DEC-08
B0019,UML 2 Bible,499,SE,18,,15,978-8126504527,26-SEP-03
B0020,The Unified Modelling Language User Guide,625,SE,11,Second,18,978-8131715826,01-JAN-07
B0021,UML Distilled A brief guide to standard object Modelling Language,250,SE,11,Third,0,978-8131715659,01-JAN-11
B0022,The Art of Computer Programming Volume 1  Fundamental Algorithms,475,PR,11,Third,5,978-8177587548,01-JAN-02
B0023,The Art of Computer Programming Volume 2  Seminumerical Algorithms,599,PR,11,Third,15,978-8177583359,01-JAN-98
B0024,The Art of Computer Programming Volume 3 ,525,PR,11,Second,15,978-8131709832,01-JAN-08
B0026,Introduction to Algorithms,425,PR,13,Third,10,978-8120340077,01-JAN-10
B0027,Computer Architecture A Quantitative Approach,450,OS,9,,12,978-9381269220,01-JAN-11
B0028,Data and Computer communications,435,NW,11,Eighth,12,978-8131715369,01-JAN-07
B0029,Computer Organization and Design The Hardware Software Interface,495,OS,9,,15,978-8131222744,01-JAN-10
B0030,Modern Operating Systems,450,OS,13,,15,978-8120339040,01-JAN-09
B0031,Software Architecture Perspective on Emerging Discipline,150,SE,13,,,978-8120314702,01-JAN-09
B0032,Software Engineering A Practitioner's Approach,412,SE,23,Fourth,,978-0071267823,01-APR-09
B0033,Web Services - An Introduction,585,PR,15,,,978-1259002762,09-JAN-12
B0034,Ten Steps to Maturity in Knowledge Management,755,SE,24,,,978-1843341307,01-JAN-06
B0035,Integrated Approach to Web Performance Testing A practitioner's Guide,4137.75,SE,8,,,978-1591407850,15-MAR-06
B0036,S O A in Practice,375,SE,14,,,978-8184043693,01-JAN-10
